calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia;done
Calle de Palafox;Palafox;Palafox;;0;Male;-;-;;TRUE
Calle de Mundir I;Mundir I;Mundir;I;0;Male;-;-;;TRUE
Calle del Sepulcro;Sepulcro;Sepulcro;;0;Unknown;-;-;;TRUE
Calle de los Arcedianos;Arcedianos;Arcedianos;;0;Unknown;-;-;;TRUE
Calle Pabostría;Pabostría;Pabostría;;0;Unknown;-;-;;TRUE
Calle del Lucero;Lucero;Lucero;;2;Unknown;-;-;;TRUE
Calle de Don Juan de Aragón;Don Juan de Aragón;Don;Juan;-2;Male;-;-;;TRUE
Calle Deán;Deán;Deán;;-2;Unknown;-;-;;TRUE
Calle de San Lorenzo;San Lorenzo;San;Lorenzo;-2;Male;-;-;;TRUE
Calle de San Vicente de Paúl;San Vicente de Paúl;San;Vicente;-2;Male;-;-;;TRUE
Calle Pedro Ramírez;Pedro Ramírez;Pedro;Ramírez;-2;Male;-;-;;TRUE
Calle Pedro Liñán;Pedro Liñán;Pedro;Liñán;-2;Male;-;-;;TRUE
Calle de Gavín;Gavín;Gavín;;-2;Unknown;-;-;;TRUE
Calle Don Juan de Aragón;Don Juan Aragón;Don;Juan;-2;Male;-;-;;TRUE
Calle Torrejón;Torrejón;Torrejón;;0;Unknown;-;-;;TRUE
Plaza Ignacio Jordán de Asso;Ignacio Jordán Asso;Ignacio;Jordán;-2;Male;-;-;;TRUE
Calle de Torrellas;Torrellas;Torrellas;;0;Unknown;-;-;;TRUE
Calle del Órgano;Órgano;Órgano;;0;Unknown;-;-;;TRUE
Calle Verónica;Verónica;Verónica;;2;Female;-;-;https://es.wikipedia.org/wiki/Ver%C3%B3nica_(santa);TRUE
Calle José Pardo Sastrón;José Pardo Sastrón;José;Pardo;-2;Male;-;-;;TRUE
Calle de Santa Catalina;Santa Catalina;Santa;Catalina;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_Catalina_Gonzaga_de_Mantua;TRUE
Calle de Pedro Joaquín Soler;Pedro Joaquín Soler;Pedro;Joaquín;-2;Male;-;-;;TRUE
Calle de Urrea;Urrea;Urrea;;0;Unknown;-;-;;TRUE
Calle de Rufas;Rufas;Rufas;;0;Unknown;-;-;;TRUE
Calle de Santo Dominguito de Val;Santo Dominguito de Val;Santo;Dominguito;-2;Male;-;-;;TRUE
Calle Santo Dominguito del Val;Santo Dominguito Val;Santo;Dominguito;-2;Male;-;-;;TRUE
Calle de Hermanos Ibarra;Hermanos Ibarra;Hermanos;Ibarra;0;Male;-;-;;TRUE
Calle Espartero;Espartero;Espartero;;0;Male;-;-;https://es.wikipedia.org/wiki/Baldomero_Espartero;TRUE
Calle de San Miguel;San Miguel;San;Miguel;-2;Male;-;-;;TRUE
Calle de Sancho y Gil;Sancho y Gil;Sancho;y;-2;Male;-;-;;TRUE
Calle de Jaime Balmes;Jaime Balmes;Jaime;Balmes;-2;Male;-;-;;TRUE
Calle de Segismundo Moret;Segismundo Moret;Segismundo;Moret;-2;Male;-;-;;TRUE
Calle de Lola de Ávila;Lola de Ávila;Lola;de;2;Female;-;-;https://es.wikipedia.org/wiki/Lola_de_%C3%81vila;TRUE
Calle de Mateo Flandro;Mateo Flandro;Mateo;Flandro;-2;Male;-;-;;TRUE
Calle del Comandante Repollés;Comandante Repollés;Comandante;Repollés;0;Male;-;-;;TRUE
Plaza San Miguel;San Miguel;San;Miguel;-2;Male;-;-;;TRUE
Calle Marqués de Lazán;Marqués Lazán;Marqués;Lazán;0;Male;-;-;;TRUE
Plaza San Carlos;San Carlos;San;Carlos;-2;Male;-;-;;TRUE
Calle de la Zarza;Zarza;Zarza;;0;Unknown;-;-;;TRUE
Calle de Espino;Espino;Espino;;2;Unknown;-;-;;TRUE
Calle de los Estudios;Estudios;Estudios;;0;Unknown;-;-;;TRUE
Calle del Gallo;Gallo;Gallo;;0;Unknown;-;-;;TRUE
Calle de la Cadena;Cadena;Cadena;;0;Male;-;-;;TRUE
Calle de Antonio Agustín;Antonio Agustín;Antonio;Agustín;-2;Male;-;-;;TRUE
Calle de las Cortesías;Cortesías;Cortesías;;0;Unknown;-;-;;TRUE
Calle Pelegrín;Pelegrín;Pelegrín;;-2;Male;-;-;;TRUE
Calle del Heroísmo;Heroísmo;Heroísmo;;0;Unknown;-;-;;TRUE
Calle de Romea;Romea;Romea;;0;Male;-;-;;TRUE
Calle del Rincón;Rincón;Rincón;;0;Unknown;-;-;;TRUE
Calle de Policarpo Romea;Policarpo Romea;Policarpo;Romea;-2;Male;-;-;;TRUE
Plaza Añón;Añón;Añón;;0;Male;-;-;;TRUE
Calle de Pedro Garcés de Añón;Pedro Garcés de Añón;Pedro;Garcés;-2;Male;-;-;;TRUE
Callejón del Perro;Perro;Perro;;0;Unknown;-;-;;TRUE
Calle de la Reconquista;Reconquista;Reconquista;;0;Unknown;-;-;;TRUE
Calle Miguel Servet;Miguel Servet;Miguel;Servet;-2;Male;-;-;;TRUE
Calle Asalto;Asalto;Asalto;;0;Unknown;-;-;;TRUE
Calle Los Clavos;Los Clavos;Los;Clavos;0;Unknown;-;-;;TRUE
Calle Manuela Sancho;Manuela Sancho;Manuela;Sancho;2;Female;-;-;https://es.wikipedia.org/wiki/Manuela_Sancho;TRUE
Calle El Turco;El Turco;El;Turco;0;Unknown;-;-;;TRUE
Calle Los Viejos;Los Viejos;Los;Viejos;0;Unknown;-;-;;TRUE
Calle Torre;Torre;Torre;;0;Unknown;-;-;;TRUE
Calle de Aznar Molina;Aznar Molina;Aznar;Molina;0;Male;-;-;;TRUE
Calle del Boterón;Boterón;Boterón;;0;Unknown;-;-;;TRUE
Puente de Nuestra Señora del Pilar;Nuestra Señora Pilar;Nuestra;Señora;2;Female;-;-;https://es.wikipedia.org/wiki/Virgen_del_Pilar;TRUE
Plaza Nuestra Señora de la Piedad;Nuestra Señora Piedad;Nuestra;Señora;2;Female;-;-;;TRUE
Plaza San Nicolás;San Nicolás;San;Nicolás;-2;Male;-;-;;TRUE
Calle de Don Teobaldo;Don Teobaldo;Don;Teobaldo;-2;Male;-;-;;TRUE
Calle de la Universidad;Universidad;Universidad;;0;Unknown;-;-;;TRUE
Calle de la Trinidad;Trinidad;Trinidad;;2;Unknown;-;-;;TRUE
Glorieta Puerta del Sol;Glorieta Puerta del Sol;Glorieta;Puerta;2;Unknown;-;-;;TRUE
Plaza Tenerias;Tenerias;Tenerias;;0;Unknown;-;-;;TRUE
Plaza Tenerías;Tenerías;Tenerías;;0;Unknown;-;-;;TRUE
Calle Alonso V;Alonso V;Alonso;V;-2;Male;-;-;;TRUE
Calle José Luzán;José Luzán;José;Luzán;-2;Male;-;-;;TRUE
Plaza Rebolería;Rebolería;Rebolería;;0;Unknown;-;-;;TRUE
Calle Monreal;Monreal;Monreal;;0;Unknown;-;-;;TRUE
Calle del Río;Calle del;Calle;del;0;Unknown;-;-;;TRUE
Callejón del Río;Callejón del;Callejón;del;0;Unknown;-;-;;TRUE
Calle Rebolería;Rebolería;Rebolería;;0;Unknown;-;-;;TRUE
Plaza Herrera de los Navarros;Herrera Navarros;Herrera;Navarros;0;Unknown;-;-;;TRUE
Plaza de la Magdalena;Magdalena;Magdalena;;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_Magdalena;TRUE
Calle San Agustín;San Agustín;San;Agustín;-2;Male;-;-;;TRUE
Calle Arnaldo Alcober;Arnaldo Alcober;Arnaldo;Alcober;-2;Male;-;-;;TRUE
Calle de Olleta;Olleta;Olleta;;0;Unknown;-;-;;TRUE
Calle la Estrella;la Estrella;la;Estrella;2;Unknown;-;-;;TRUE
Calle del Pozo;Pozo;Pozo;;0;Unknown;-;-;;TRUE
Calle Francisco Cantín y Gamboa;Francisco Cantín y Gamboa;Francisco;Cantín;-2;Male;-;-;;TRUE
Calle de la Noria;Noria;Noria;;2;Unknown;-;-;;TRUE
Calle de Jusepillo de Olleta;Jusepillo de Olleta;Jusepillo;de;0;Unknown;-;-;;TRUE
Calle las Arcadas;las Arcadas;las;Arcadas;0;Unknown;-;-;;TRUE
Calle Barrioverde;Barrioverde;Barrioverde;;0;Unknown;-;-;;TRUE
Calle Doctor Alejandro Palomar;Doctor Alejandro Palomar;Doctor;Alejandro;-2;Male;-;-;;TRUE
Calle de la Viola;Viola;Viola;;2;Unknown;-;-;;TRUE
Plaza San Agustín;San Agustín;San;Agustín;-2;Male;-;-;;TRUE
Claustro Gótico;Claustro Gótico;Claustro;Gótico;0;Unknown;-;-;;TRUE
Calle Alcalá;Alcalá;Alcalá;;0;Unknown;-;-;;TRUE
Calle las Eras;las Eras;las;Eras;0;Unknown;-;-;;TRUE
Calle de Joaquín Aznar Molina;Joaquín Aznar Molina;Joaquín;Aznar;-2;Male;-;-;;TRUE
Plaza de las Eras;Eras;Eras;;0;Unknown;-;-;;TRUE
Calle Jorge Cocci;Jorge Cocci;Jorge;Cocci;-2;Male;-;-;;TRUE
Calle de El Aaiún;El Aaiún;El;Aaiún;0;Unknown;-;-;;TRUE
Calle del Doctor Mariano Alvira Lasierra;Doctor Mariano Alvira Lasierra;Doctor;Mariano;-2;Male;-;-;;TRUE
Calle Jorge Coci;Jorge Coci;Jorge;Coci;-2;Male;-;-;;TRUE
Calle de el Aaiún;el Aaiún;el;Aaiún;0;Unknown;-;-;;TRUE
Plaza Beltrán Martínez;Beltrán Martínez;Beltrán;Martínez;-2;Male;-;-;;TRUE
Calle del Alto Aragón;Alto Aragón;Alto;Aragón;0;Unknown;-;-;;TRUE
Calle Pascual Albero Burillo;Pascual Albero Burillo;Pascual;Albero;-2;Male;-;-;;TRUE
Claustro Agustinos;Claustro Agustinos;Claustro;Agustinos;0;Unknown;-;-;;TRUE
Plaza Antonio Beltrán Martínez;Antonio Beltrán Martínez;Antonio;Beltrán;-2;Male;-;-;;TRUE
Calle Félix Rodríguez de la Fuente;Félix Rodríguez Fuente;Félix;Rodríguez;-2;Male;-;-;;TRUE
Calle Alto Aragón;Alto Aragón;Alto;Aragón;0;Unknown;-;-;;TRUE
Calle Doctor Blanco Cordero;Doctor Blanco Cordero;Doctor;Blanco;0;Male;-;-;;TRUE
Andador Reina Ester;Andador Reina Ester;Andador;Reina;2;Female;-;-;;TRUE
Andador Alberto Albericio Conchán;Andador Alberto Albericio Conchán;Andador;Alberto;-2;Male;-;-;;TRUE
Puente de los Sitios;Sitios;Sitios;;0;Unknown;-;-;;TRUE
Calle de José Canalejas;José Canalejas;José;Canalejas;-2;Male;-;-;;TRUE
Paseo de la Mina;Mina;Mina;;2;Unknown;-;-;;TRUE
Calle de José Luis Pomarón;José Luis Pomarón;José;Luis;-2;Male;-;-;;TRUE
Pasaje de Coimbra;Coimbra;Coimbra;;0;Unknown;-;-;;TRUE
Calle Ciudad de Coimbra;Ciudad Coimbra;Ciudad;Coimbra;0;Unknown;-;-;;TRUE
Calle Lorenzo Pardo;Lorenzo Pardo;Lorenzo;Pardo;-2;Male;-;-;;TRUE
Calle Reina Fabiola;Reina Fabiola;Reina;Fabiola;2;Female;-;-;https://es.wikipedia.org/wiki/Fabiola_de_Mora_y_Arag%C3%B3n;TRUE
Calle de Andrés Gurpide;Andrés Gurpide;Andrés;Gurpide;-2;Male;-;-;;TRUE
Calle de Salvador de Madariaga;Salvador de Madariaga;Salvador;de;-2;Male;-;-;;TRUE
Calle La Concepción;La Concepción;La;Concepción;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_Concepci%C3%B3n_Bol%C3%ADvar;TRUE
Calle Braulio Lausín;Braulio Lausín;Braulio;Lausín;-2;Male;-;-;;TRUE
Calle de Gonzalo de Berceo;Gonzalo de Berceo;Gonzalo;de;-2;Male;-;-;;TRUE
Calle de Amado Nervo;Amado Nervo;Amado;Nervo;-2;Male;-;-;;TRUE
Calle Miraflores;Miraflores;Miraflores;;0;Unknown;-;-;;TRUE
Calle Florida;Florida;Florida;;2;Unknown;-;-;;TRUE
Calle Manuel Lorenzo Pardo;Manuel Lorenzo Pardo;Manuel;Lorenzo;-2;Male;-;-;;TRUE
Calle El Trabajo;El Trabajo;El;Trabajo;0;Unknown;-;-;;TRUE
Calle Previsión Social;Previsión Social;Previsión;Social;0;Unknown;-;-;;TRUE
Calle del Escultor Félix Burriel;Escultor Félix Burriel;Escultor;Félix;-2;Male;-;-;;TRUE
Avenida de San José;San José;San;José;-2;Male;-;-;;TRUE
Calle Roger de Tur;Roger Tur;Roger;Tur;-2;Male;-;-;;TRUE
Avenida Compromiso de Caspe;Compromiso Caspe;Compromiso;Caspe;0;Unknown;-;-;;TRUE
Calle Joaquín Sanz Gadea;Joaquín Sanz Gadea;Joaquín;Sanz;-2;Male;-;-;;TRUE
Calle Monasterio de Samos;Monasterio Samos;Monasterio;Samos;0;Unknown;-;-;;TRUE
Calle del Matadero;Matadero;Matadero;;0;Unknown;-;-;;TRUE
Calle de la Villa de Chiprana;Villa Chiprana;Villa;Chiprana;2;Unknown;-;-;;TRUE
Calle del Hogar Obrero;Hogar Obrero;Hogar;Obrero;0;Unknown;-;-;;TRUE
Calle Florentino Ballesteros;Florentino Ballesteros;Florentino;Ballesteros;-2;Male;-;-;;TRUE
Calle Jaime Ballesteros Herrerín;Jaime Ballesteros Herrerín;Jaime;Ballesteros;-2;Male;-;-;;TRUE
Calle Enrique Casas Vila;Enrique Casas Vila;Enrique;Casas;-2;Male;-;-;;TRUE
Calle de Jaime Herrerín;Jaime Herrerín;Jaime;Herrerín;-2;Male;-;-;;TRUE
Plaza Reina Sofía;Reina Sofía;Reina;Sofía;2;Female;-;-;https://es.wikipedia.org/wiki/Brita_Sof%C3%ADa_Hesselius;TRUE
Calle Santuario de Cabañas;Santuario Cabañas;Santuario;Cabañas;0;Unknown;-;-;;TRUE
Calle Monasterio San Martín de Cillas;Monasterio San Martín Cillas;Monasterio;San;-2;Unknown;-;-;;TRUE
Calle Mor de Fuentes;Mor Fuentes;Mor;Fuentes;-2;Unknown;-;-;;TRUE
Calle Santa Cecilia;Santa Cecilia;Santa;Cecilia;2;Female;-;-;https://es.wikipedia.org/wiki/Rossana_Cecilia_Surballe;TRUE
Calle Conde de Sástago;Conde Sástago;Conde;Sástago;0;Unknown;-;-;;TRUE
Calle Santa Rosa;Santa Rosa;Santa;Rosa;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_Rosa_Flores;TRUE
Calle Privilegio de la Unión;Privilegio Unión;Privilegio;Unión;0;Unknown;-;-;;TRUE
Calle de San Luis de Francia;San Luis de Francia;San;Luis;-2;Male;-;-;;TRUE
Calle El Salvador;El Salvador;El;Salvador;-2;Male;-;-;;TRUE
Calle Antonio Maura;Antonio Maura;Antonio;Maura;-2;Male;-;-;;TRUE
Calle Luis Braille;Luis Braille;Luis;Braille;-2;Male;-;-;;TRUE
Calle del Monasterio de Poblet;Monasterio Poblet;Monasterio;Poblet;0;Unknown;-;-;;TRUE
Calle de Juana de Ibarbourou;Juana de Ibarbourou;Juana;de;2;Female;-;-;https://es.wikipedia.org/wiki/Juana_de_Ibarbourou;TRUE
Calle de Utrillas;Utrillas;Utrillas;;0;Unknown;-;-;;TRUE
Calle General Ricardos;General Ricardos;General;Ricardos;0;Unknown;-;-;;TRUE
Plaza Pintor Aguayo;Pintor Aguayo;Pintor;Aguayo;0;Unknown;-;-;;TRUE
Calle Adam;Adam;Adam;;-2;Male;-;-;;TRUE
Calle del Hermano Adolfo;Hermano Adolfo;Hermano;Adolfo;-2;Male;-;-;;TRUE
Camino de Cabaldós;Cabaldós;Cabaldós;;0;Unknown;-;-;;TRUE
Calle Mediodía;Mediodía;Mediodía;;0;Unknown;-;-;;TRUE
Calle de Calixto Ariño;Calixto Ariño;Calixto;Ariño;-2;Male;-;-;;TRUE
Calle San Juan de Luz;San Juan Luz;San;Juan;-2;Male;-;-;;TRUE
Calle Rambla;Rambla;Rambla;;0;Unknown;-;-;;TRUE
Calle de Paniza;Paniza;Paniza;;0;Unknown;-;-;;TRUE
Calle de Jerónimo Vicens;Jerónimo Vicens;Jerónimo;Vicens;-2;Male;-;-;;TRUE
Calle Pedro de Alvarado;Pedro Alvarado;Pedro;Alvarado;-2;Male;-;-;;TRUE
Calle de Eduardo Jesús Taboada;Eduardo Jesús Taboada;Eduardo;Jesús;-2;Male;-;-;;TRUE
Calle de Vicente López Abadía;Vicente López Abadía;Vicente;López;-2;Male;-;-;;TRUE
Calle del Obispo Librana;Obispo Librana;Obispo;Librana;0;Male;-;-;;TRUE
Calle José de Ancheta;José Ancheta;José;Ancheta;-2;Male;-;-;;TRUE
Calle de los Hermanos Álvarez Quintero;Hermanos Álvarez Quintero;Hermanos;Álvarez;0;Male;-;-;;TRUE
Calle de Silvestre Pérez;Silvestre Pérez;Silvestre;Pérez;-2;Male;-;-;;TRUE
Camino de Las Torres;Las Torres;Las;Torres;0;Unknown;-;-;;TRUE
Calle del Doctor Iranzo;Doctor Iranzo;Doctor;Iranzo;0;Male;-;-;;TRUE
Calle Nicanor Villa;Nicanor Villa;Nicanor;Villa;-2;Male;-;-;;TRUE
Calle Maestro Mingote;Maestro Mingote;Maestro;Mingote;0;Male;-;-;;TRUE
Puente de la Unión;Unión;Unión;;0;Unknown;-;-;;TRUE
Calle de Jorge Sánchez Candial;Jorge Sánchez Candial;Jorge;Sánchez;-2;Male;-;-;;TRUE
Calle Matías Maluenda;Matías Maluenda;Matías;Maluenda;-2;Male;-;-;;TRUE
Calle de Carmelo Betoré Bergúa;Carmelo Betoré Bergúa;Carmelo;Betoré;-2;Male;-;-;;TRUE
Calle de Antonio Galindo;Antonio Galindo;Antonio;Galindo;-2;Male;-;-;;TRUE
Calle de la Fabla Aragonesa;Fabla Aragonesa;Fabla;Aragonesa;0;Unknown;-;-;;TRUE
Calle Nobleza Baturra;Nobleza Baturra;Nobleza;Baturra;0;Unknown;-;-;;TRUE
Calle Doctor Iranzo;Doctor Iranzo;Doctor;Iranzo;0;Male;-;-;;TRUE
Calle José Martínez Ruiz Azorín;José Martínez Ruiz Azorín;José;Martínez;-2;Male;-;-;;TRUE
Calle Salvador Minguijón;Salvador Minguijón;Salvador;Minguijón;-2;Male;-;-;;TRUE
Calle Tiermas;Tiermas;Tiermas;;0;Unknown;-;-;;TRUE
Calle del Escultor Benlliure;Escultor Benlliure;Escultor;Benlliure;0;Male;-;-;;TRUE
Monasterio de San Victorián;Monasterio de San Victorián;Monasterio;de;-2;Unknown;-;-;;TRUE
Calle Florián Rey;Florián Rey;Florián;Rey;-2;Male;-;-;;TRUE
Calle Monasterio de Nájera;Monasterio Nájera;Monasterio;Nájera;0;Unknown;-;-;;TRUE
Calle Miguel Antonio Catalán Sañudo;Miguel Antonio Catalán Sañudo;Miguel;Antonio;-2;Male;-;-;;TRUE
Calle Comuneros de Castilla;Comuneros Castilla;Comuneros;Castilla;0;Unknown;-;-;;TRUE
Calle Monasterio de la Oliva;Monasterio Oliva;Monasterio;Oliva;2;Unknown;-;-;;TRUE
Plaza Albeta;Albeta;Albeta;;0;Unknown;-;-;;TRUE
Calle del Santuario de Misericordia;Santuario Misericordia;Santuario;Misericordia;2;Unknown;-;-;;TRUE
Calle Madrina Salinas;Madrina Salinas;Madrina;Salinas;0;Unknown;-;-;;TRUE
Calle Julián Matute Hervías;Julián Matute Hervías;Julián;Matute;-2;Male;-;-;;TRUE
Calle de Fray Luis Urbano;Fray Luis Urbano;Fray;Luis;-2;Male;-;-;;TRUE
Azud Manuel Lorenzo Pardo;Azud Manuel Lorenzo Pardo;Azud;Manuel;-2;Male;-;-;;TRUE
Calle Almonacid de la Sierra;Almonacid Sierra;Almonacid;Sierra;2;Unknown;-;-;;TRUE
Calle Monasterio de Silos;Monasterio Silos;Monasterio;Silos;0;Unknown;-;-;;TRUE
Calle Eugenia Bueso;Eugenia Bueso;Eugenia;Bueso;2;Female;-;-;https://es.wikipedia.org/wiki/Eugenia_Bueso;TRUE
Calle Monasterio de Montserrat;Monasterio Montserrat;Monasterio;Montserrat;2;Unknown;-;-;;TRUE
Calle de Figueras;Figueras;Figueras;;0;Unknown;-;-;;TRUE
Parque de Las Glorietas de Goya;Las Glorietas de Goya;Las;Glorietas;2;Unknown;-;-;;TRUE
Calle del Santuario de Rodanas;Santuario Rodanas;Santuario;Rodanas;0;Unknown;-;-;;TRUE
Calle de Eduardo Rosales;Eduardo Rosales;Eduardo;Rosales;-2;Male;-;-;;TRUE
Calle de Santiago Rusiñol;Santiago Rusiñol;Santiago;Rusiñol;-2;Male;-;-;;TRUE
Calle del Pintor Zuloaga;Pintor Zuloaga;Pintor;Zuloaga;0;Male;-;-;;TRUE
Plaza Santa Rosa de Lima;Santa Rosa Lima;Santa;Rosa;2;Female;-;-;;TRUE
Calle del Enlace;Enlace;Enlace;;0;Unknown;-;-;;TRUE
Calle Rusiñol;Rusiñol;Rusiñol;;0;Unknown;-;-;;TRUE
Calle Monasterio de Guadalupe;Monasterio Guadalupe;Monasterio;Guadalupe;2;Unknown;-;-;;TRUE
Calle de Leopoldo Romeo;Leopoldo Romeo;Leopoldo;Romeo;-2;Male;-;-;;TRUE
Calle Leopoldo Romeo;Leopoldo Romeo;Leopoldo;Romeo;-2;Male;-;-;;TRUE
Calle de José Sancho Arroyo;José Sancho Arroyo;José;Sancho;-2;Male;-;-;;TRUE
Calle de Nuestra Señora del Pueyo;Nuestra Señora Pueyo;Nuestra;Señora;0;Unknown;-;-;;TRUE
Calle Monasterio Nuestra Señora del Pueyo;Monasterio Nuestra Señora Pueyo;Monasterio;Nuestra;0;Unknown;-;-;;TRUE
Calle del Príncipe Baltasar Carlos;Príncipe Baltasar Carlos;Príncipe;Baltasar;-2;Male;-;-;;TRUE
Calle Batalla de Lepanto;Batalla Lepanto;Batalla;Lepanto;0;Unknown;-;-;;TRUE
Calle Doctor Suárez Perdiguero;Doctor Suárez Perdiguero;Doctor;Suárez;0;Male;-;-;;TRUE
Calle Batalla de Pavía;Batalla Pavía;Batalla;Pavía;0;Unknown;-;-;;TRUE
Calle de Octavio García Burriel;Octavio García Burriel;Octavio;García;-2;Male;-;-;;TRUE
Calle Monasterio de Veruela;Monasterio Veruela;Monasterio;Veruela;0;Unknown;-;-;;TRUE
Camino de Fillas;Fillas;Fillas;;0;Unknown;-;-;;TRUE
Calle Monasterio de la Rábida;Monasterio Rábida;Monasterio;Rábida;0;Unknown;-;-;;TRUE
Calle Monasterio de Siresa;Monasterio Siresa;Monasterio;Siresa;0;Unknown;-;-;;TRUE
Calle Rodrigo Rebolledo;Rodrigo Rebolledo;Rodrigo;Rebolledo;-2;Male;-;-;;TRUE
Calle Obispo Laplana;Obispo Laplana;Obispo;Laplana;0;Male;-;-;;TRUE
Calle José Gascón y Marin;José Gascón y Marin;José;Gascón;-2;Male;-;-;;TRUE
Calle de las Minas;Minas;Minas;;0;Unknown;-;-;;TRUE
Calle Cardenal Cisneros;Cardenal Cisneros;Cardenal;Cisneros;0;Male;-;-;;TRUE
Calle de Tomás Higuera;Tomás Higuera;Tomás;Higuera;-2;Male;-;-;;TRUE
Plaza de Utrillas;Utrillas;Utrillas;;0;Unknown;-;-;;TRUE
Calle del Sol;Sol;Sol;;2;Unknown;-;-;;TRUE
Calle de Francisco de Quevedo;Francisco de Quevedo;Francisco;de;-2;Male;-;-;;TRUE
Calle de Montearagón;Montearagón;Montearagón;;0;Unknown;-;-;;TRUE
Calle Castillo de Javier;Castillo Javier;Castillo;Javier;2;Unknown;-;-;;TRUE
Calle de Belchite;Belchite;Belchite;;0;Unknown;-;-;;TRUE
Calle Colegiata de Bolea;Colegiata Bolea;Colegiata;Bolea;0;Unknown;-;-;;TRUE
Calle de Cubel;Cubel;Cubel;;0;Unknown;-;-;;TRUE
Calle de Yolanda de Bar;Yolanda de Bar;Yolanda;de;2;Female;-;-;;TRUE
Calle María de Aragón;María Aragón;María;Aragón;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_de_Arag%C3%B3n_(reina_de_Castilla);TRUE
Calle Monasterio de Sigena;Monasterio Sigena;Monasterio;Sigena;0;Female;-;-;;TRUE
Calle Monasterio de Valvanera;Monasterio Valvanera;Monasterio;Valvanera;2;Female;-;-;;TRUE
Calle María Andrea Casamayor y de la Coma;María Andrea Casamayor y Coma;María;Andrea;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_Andrea_Casamayor;TRUE
Calle Pedro Cubero;Pedro Cubero;Pedro;Cubero;-2;Male;-;-;;TRUE
Calle de la Amistad;Amistad;Amistad;;0;Unknown;-;-;;TRUE
Calle Elche;Elche;Elche;;0;Unknown;-;-;;TRUE
Calle Monasterio de Alahón;Monasterio Alahón;Monasterio;Alahón;0;Unknown;-;-;;TRUE
Calle de Santo Domingo de Silos;Santo Domingo de Silos;Santo;Domingo;-2;Male;-;-;;TRUE
Calle Estepona;Estepona;Estepona;;0;Unknown;-;-;;TRUE
Calle Monasterio de Guayente;Monasterio Guayente;Monasterio;Guayente;2;Female;-;-;;TRUE
Calle Monasterio Santa Clara;Monasterio Santa Clara;Monasterio;Santa;2;Unknown;-;-;;TRUE
Grupo Vizconde Escoriaza;Grupo Vizconde Escoriaza;Grupo;Vizconde;0;Unknown;-;-;;TRUE
Calle de Jenara Vicenta Arnal Yarza;Jenara Vicenta Arnal Yarza;Jenara;Vicenta;2;Female;-;-;https://es.wikipedia.org/wiki/Jenara_Vicenta_Arnal_Yarza;TRUE
Calle de San Adrián de Sasabe;San Adrián de Sasabe;San;Adrián;-2;Male;-;-;;TRUE
Calle Sta. María de Ripoll;Sta. María Ripoll;Sta.;María;2;Unknown;-;-;;TRUE
Calle Monasterio de Leyre;Monasterio Leyre;Monasterio;Leyre;2;Female;-;-;;TRUE
Calle Monasterio de Obarra;Monasterio Obarra;Monasterio;Obarra;0;Female;-;-;;TRUE
Calle de Monasterio de Roncesvalles;Monasterio de Roncesvalles;Monasterio;de;2;Female;-;-;;TRUE
Calle Monasterio de Solemes;Monasterio Solemes;Monasterio;Solemes;0;Female;-;-;;TRUE
Calle Nuestra Señora de Fuenfría;Nuestra Señora Fuenfría;Nuestra;Señora;0;Female;-;-;;TRUE
Calle de Valdealgorfa;Valdealgorfa;Valdealgorfa;;0;Unknown;-;-;;TRUE
Calle Escatrón;Escatrón;Escatrón;;0;Unknown;-;-;;TRUE
Calle Santa Eulalia del Campo;Santa Eulalia Campo;Santa;Eulalia;2;Female;-;-;;TRUE
Calle de Lécera;Lécera;Lécera;;0;Unknown;-;-;;TRUE
Calle del Veintitrés de Abril;Veintitrés Abril;Veintitrés;Abril;2;Unknown;-;-;;TRUE
Calle Isidoro de Antillón;Isidoro Antillón;Isidoro;Antillón;-2;Male;-;-;;TRUE
Calle de Isabel Santo Domingo;Isabel Santo Domingo;Isabel;Santo;2;Female;-;-;https://es.wikipedia.org/wiki/Isabel_de_Santo_Domingo;TRUE
Calle de Eusebio Bardaxí y Azara;Eusebio Bardaxí y Azara;Eusebio;Bardaxí;-2;Male;-;-;;TRUE
Calle Isla Dragonera;Isla Dragonera;Isla;Dragonera;2;Unknown;-;-;;TRUE
Calle Isla de Mallorca;Isla Mallorca;Isla;Mallorca;2;Unknown;-;-;;TRUE
Calle de Santa Fe;Santa Fe;Santa;Fe;2;Female;-;-;;TRUE
Calle Mar de Aragón;Mar Aragón;Mar;Aragón;2;Unknown;-;-;;TRUE
Calle Paracuellos de Jiloca;Paracuellos Jiloca;Paracuellos;Jiloca;0;Unknown;-;-;;TRUE
Calle Ana Abarca de Bolea;Ana Abarca Bolea;Ana;Abarca;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_Francisca_Abarca_de_Bolea;TRUE
Calle Peñalba;Peñalba;Peñalba;;0;Unknown;-;-;;TRUE
